Name,MemoryPosition,midiType,Note,MaximumValue,MinimumValue,MidiChannel,Toggle,Keys,Modifiers,DMXAddress,Page
P1,26,Note,0,127,0,1,Pot,0,0,0,0
P2,28,Note,0,127,0,1,Pot,0,0,0,0
P3,30,Note,0,127,0,1,Pot,0,0,0,0
P4,32,Note,0,127,0,1,Pot,0,0,0,0
P5,24,Note,0,127,0,1,Pot,0,0,0,0
P6,22,Note,0,127,0,1,Pot,0,0,0,0
P7,20,Note,0,127,0,1,Pot,0,0,0,0
P8,18,Note,0,127,0,1,Pot,0,0,0,0
P9,10,Note,0,127,0,1,Pot,0,0,0,0
P10,12,Note,0,127,0,1,Pot,0,0,0,0
P11,14,Note,0,127,0,1,Pot,0,0,0,0
P12,16,Note,0,127,0,1,Pot,0,0,0,0
P13,8,Note,0,127,0,1,Pot,0,0,0,0
P14,6,Note,0,127,0,1,Pot,0,0,0,0
P15,4,Note,0,127,0,1,Pot,0,0,0,0
P16,2,Note,0,127,0,1,Pot,0,0,0,0
F0,46,Note,0,127,0,1,Pot,0,0,0,0
F1,48,Note,0,127,0,1,Pot,0,0,0,0
F2,44,Note,0,127,0,1,Pot,0,0,0,0
F3,42,Note,0,127,0,1,Pot,0,0,0,0
B1,23,Note,0,127,0,1,Pot,0,0,0,0
B2,17,Note,0,127,0,1,Pot,0,0,0,0
B3,21,Note,0,127,0,1,Pot,0,0,0,0
B4,19,Note,0,127,0,1,Pot,0,0,0,0
B5,27,Note,0,127,0,1,Pot,0,0,0,0
B6,29,Note,0,127,0,1,Pot,0,0,0,0
B7,25,Note,0,127,0,1,Pot,0,0,0,0
B8,31,Note,0,127,0,1,Pot,0,0,0,0
B9,7,Note,0,127,0,1,Pot,0,0,0,0
B10,1,Note,0,127,0,1,Pot,0,0,0,0
B11,5,Note,0,127,0,1,Pot,0,0,0,0
B12,3,Note,0,127,0,1,Pot,0,0,0,0
B13,11,Note,0,127,0,1,Pot,0,0,0,0
B14,13,Note,0,127,0,1,Pot,0,0,0,0
B15,9,Note,0,127,0,1,Pot,0,0,0,0
B16,15,Note,0,127,0,1,Pot,0,0,0,0
B17,39,Note,0,127,0,1,Pot,0,0,0,0
B18,33,Note,0,127,0,1,Pot,0,0,0,0
B19,37,Note,0,127,0,1,Pot,0,0,0,0
B20,35,Note,0,127,0,1,Pot,0,0,0,0
B21,43,Note,0,127,0,1,Pot,0,0,0,0
B22,45,Note,0,127,0,1,Pot,0,0,0,0
B23,41,Note,0,127,0,1,Pot,0,0,0,0
B24,47,Note,0,127,0,1,Pot,0,0,0,0
B26,54,Note,0,127,0,1,Pot,0,0,0,0
B27,50,Note,0,127,0,1,Pot,0,0,0,0
B25,52,Note,0,127,0,1,Pot,0,0,0,0
B28,51,Note,0,127,0,1,Pot,0,0,0,0
B29,53,Note,0,127,0,1,Pot,0,0,0,0
B30,49,Note,0,127,0,1,Pot,0,0,0,0
B31,55,Note,0,127,0,1,Pot,0,0,0,0
B32,56,Note,0,127,0,1,Pot,0,0,0,0
J2,57,Note,0,127,0,1,Pot,0,0,0,0
T2,62,Note,0,127,0,1,Pot,0,0,0,0
JY,40,Note,0,127,0,1,Pot,0,0,0,0
JX,38,Note,0,127,0,1,Pot,0,0,0,0
JB,34,Note,0,127,0,1,Pot,0,0,0,0
Switch,36,Note,0,127,0,1,Pot,0,0,0,0
Mouse,58,Note,0,127,0,1,Pot,0,0,0,0
